trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
539,False,"{'a': 0.3909989169314102, 'e': 0.06754238177422452}",25,7,17.11229577229991,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
540,False,"{'a': 0.3909989169314102, 'e': 0.06720551273974976}",25,0,-29.781489081551594,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
541,False,"{'a': 0.3909989169314102, 'e': 0.0668703238465938}",20,4,27.454853124444938,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
542,False,"{'a': 0.3909989169314102, 'e': 0.06653680671501686}",25,13,16.046243932793427,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
543,False,"{'a': 0.3909989169314102, 'e': 0.06620495300707324}",20,12,14.46540001581777,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
544,False,"{'a': 0.3909989169314102, 'e': 0.06587475442640295}",20,14,9.625795172797952,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
545,False,"{'a': 0.3909989169314102, 'e': 0.06554620271802433}",25,13,22.183075396511093,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
546,False,"{'a': 0.3909989169314102, 'e': 0.06521928966812753}",20,2,-9.455555356020906,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
547,False,"{'a': 0.3909989169314102, 'e': 0.06489400710386926}",25,15,16.16878600372028,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
548,False,"{'a': 0.3909989169314102, 'e': 0.06457034689316847}",20,9,17.451749017043674,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
549,False,"{'a': 0.3909989169314102, 'e': 0.06424830094450308}",20,12,16.701232703296487,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
550,False,"{'a': 0.3909989169314102, 'e': 0.06392786120670757}",20,13,5.497274342002376,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
551,False,"{'a': 0.3909989169314102, 'e': 0.0636090196687718}",20,8,20.30069247218091,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
552,False,"{'a': 0.3909989169314102, 'e': 0.0632917683596407}",20,14,12.774557834050395,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
553,False,"{'a': 0.3909989169314102, 'e': 0.06297609934801507}",30,13,-10.623277665687777,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
554,False,"{'a': 0.3909989169314102, 'e': 0.06266200474215315}",30,16,20.23899612058097,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
