trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
252,False,"{'a': 0.8, 'e': 0.2836540264997704}",25,13,-51.82876406404855,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
253,False,"{'a': 0.8, 'e': 0.2822392961405233}",25,13,-33.93043893991723,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
254,False,"{'a': 0.8, 'e': 0.2808316217783798}",20,15,-1.7210213430818193,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
255,False,"{'a': 0.8, 'e': 0.2794309682214073}",20,14,11.526631784701006,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.8, 'e': 0.27803730045319414}",20,10,-24.841207508902432,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
257,False,"{'a': 0.8, 'e': 0.2766505836319734}",20,8,19.175006123940815,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.8, 'e': 0.27527078308975234}",25,7,27.594252455661188,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.8, 'e': 0.2738978643314456}",20,13,-8.380165859030036,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
260,False,"{'a': 0.8, 'e': 0.2725317930340126}",25,11,0.9422814378752753,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
261,False,"{'a': 0.8, 'e': 0.2711725350455999}",25,15,20.289282005250136,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 0.8, 'e': 0.2698200563846868}",25,5,20.305553872028522,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
263,False,"{'a': 0.8, 'e': 0.2684743232392366}",20,13,6.990571613733007,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.8, 'e': 0.26713530196585034}",30,24,9.762795769769133,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
265,False,"{'a': 0.8, 'e': 0.2658029590889266}",20,0,13.77196446985763,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
266,False,"{'a': 0.8, 'e': 0.26447726129982396}",25,7,-38.693709187917065,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
267,False,"{'a': 0.8, 'e': 0.2631581754560287}",20,10,2.4088010051411413,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
268,False,"{'a': 0.8, 'e': 0.261845668580326}",20,10,5.152637108050589,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.8, 'e': 0.2605397078599756}",20,1,-5.656347119107444,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
270,False,"{'a': 0.8, 'e': 0.2592402606458915}",20,0,-80.37550289105754,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
271,False,"{'a': 0.8, 'e': 0.2579472944518257}",25,19,5.699626264726261,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.8, 'e': 0.2566607769535559}",35,13,21.40688560067851,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
273,False,"{'a': 0.8, 'e': 0.2553806759880777}",25,10,25.16590692597881,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.8, 'e': 0.25410695955280027}",20,10,-43.754977506211354,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
275,False,"{'a': 0.8, 'e': 0.25283959580474646}",20,5,25.30855212221619,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.8, 'e': 0.25157855305975646}",20,1,-8.912782443324037,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 0}",1
277,False,"{'a': 0.8, 'e': 0.2503237997916961}",20,14,9.147129519709848,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.8, 'e': 0.24907530463166816}",25,0,-45.948470387992906,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
279,False,"{'a': 0.8, 'e': 0.24783303636722875}",20,8,18.318054827065936,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
